data_type,day,hour,minute,hour_key,family,unit,unit_label,variant,smooth,coords,loss,fit_seconds,eig_seconds,sigmasq,range,phi1,phi2,nugget,n_obs,mean_rank,n_eigen,eigen_threshold,min_kept_eigen,max_kept_eigen,sum_y2,mean_y2,max_abs_bridge_scaled,brown_bridge_width
real,20220701,0,53,y22m07day01_hm00:53,tiles4x4,tile_r1c1_of_4x4,"tile row 1/4, col 1/4",nugget0,0.300000,raw,1.094147,0.571688,0.123239,3.255959,0.039944,81.513019,25.035024,0.000000,1143,2,1141,0.000000,1.616967,12.841383,1138.051301,0.997416,2.052563,64.876895
real,20220701,0,53,y22m07day01_hm00:53,tiles4x4,tile_r1c1_of_4x4,"tile row 1/4, col 1/4",nugget_free,0.300000,raw,1.132937,0.385679,0.168505,1.280430,0.137888,9.285990,7.252241,1.958929,1143,2,1141,0.000000,2.268946,42.615144,1137.779126,0.997177,0.882332,64.876895
real,20220701,0,53,y22m07day01_hm00:53,tiles4x4,tile_r1c2_of_4x4,"tile row 1/4, col 2/4",nugget0,0.300000,raw,0.997450,0.354635,0.109425,2.059029,0.025017,82.304033,39.972246,0.000000,1147,2,1145,0.000000,1.496619,4.074028,1146.066800,1.000932,1.269877,64.990514
real,20220701,0,53,y22m07day01_hm00:53,tiles4x4,tile_r1c2_of_4x4,"tile row 1/4, col 2/4",nugget_free,0.300000,raw,0.837923,0.441518,0.153790,0.205856,9.345062,0.022028,0.107008,1.847656,1147,2,1145,0.000000,1.849794,14.486611,1221.660843,1.066953,3.125692,64.990514
real,20220701,0,53,y22m07day01_hm00:53,tiles4x4,tile_r1c3_of_4x4,"tile row 1/4, col 3/4",nugget0,0.300000,raw,1.024448,0.335490,0.121501,2.666846,0.042017,63.470231,23.799738,0.000000,1126,2,1124,0.000000,1.311005,11.557368,1124.159289,1.000142,0.733879,64.391774
real,20220701,0,53,y22m07day01_hm00:53,tiles4x4,tile_r1c3_of_4x4,"tile row 1/4, col 3/4",nugget_free,0.300000,raw,0.926500,0.504662,0.126925,2.666942,0.042021,63.467084,23.797701,0.000002,1126,2,1124,0.000000,1.310994,11.559446,1124.142817,1.000127,0.733467,64.391774
real,20220701,0,53,y22m07day01_hm00:53,tiles4x4,tile_r1c4_of_4x4,"tile row 1/4, col 4/4",nugget0,0.300000,raw,1.207600,0.351460,0.158815,11.417449,0.289313,39.464007,3.456465,0.000000,1133,2,1131,0.000000,1.766271,911.797498,1132.092751,1.000966,0.985823,64.591971
real,20220701,0,53,y22m07day01_hm00:53,tiles4x4,tile_r1c4_of_4x4,"tile row 1/4, col 4/4",nugget_free,0.300000,raw,1.229438,0.377296,0.156488,11.259061,0.421815,26.691930,2.370707,0.675088,1133,2,1131,0.000000,2.065466,1213.915361,1133.353326,1.002081,1.307046,64.591971
real,20220701,0,53,y22m07day01_hm00:53,tiles4x4,tile_r2c1_of_4x4,"tile row 2/4, col 1/4",nugget0,0.300000,raw,1.089078,0.346613,0.124850,3.509918,0.050698,69.231814,19.724624,0.000000,1119,2,1117,0.000000,1.532827,20.536165,1115.486312,0.998645,1.384924,64.190952
real,20220701,0,53,y22m07day01_hm00:53,tiles4x4,tile_r2c1_of_4x4,"tile row 2/4, col 1/4",nugget_free,0.300000,raw,1.031722,0.396982,0.156358,2.030174,0.123385,16.453927,8.104689,1.530306,1119,2,1117,0.000000,2.057969,55.299790,1119.450353,1.002194,1.096374,64.190952
real,20220701,0,53,y22m07day01_hm00:53,tiles4x4,tile_r2c2_of_4x4,"tile row 2/4, col 2/4",nugget0,0.300000,raw,1.084161,0.349665,0.100137,2.819533,0.027654,101.956735,36.160861,0.000000,1092,2,1090,0.000000,1.711689,6.333445,1090.670196,1.000615,1.107840,63.410398
real,20220701,0,53,y22m07day01_hm00:53,tiles4x4,tile_r2c2_of_4x4,"tile row 2/4, col 2/4",nugget_free,0.300000,raw,0.993724,0.448949,0.146096,0.719108,0.121564,5.915486,8.226149,2.110500,1092,2,1090,0.000000,2.300219,20.651442,1088.231874,0.998378,1.151366,63.410398
real,20220701,0,53,y22m07day01_hm00:53,tiles4x4,tile_r2c3_of_4x4,"tile row 2/4, col 3/4",nugget0,0.300000,raw,1.021094,0.341136,0.128626,2.760885,0.047724,57.851522,20.953978,0.000000,1142,2,1140,0.000000,1.253673,14.957540,1132.818847,0.993701,3.181813,64.848459
real,20220701,0,53,y22m07day01_hm00:53,tiles4x4,tile_r2c3_of_4x4,"tile row 2/4, col 3/4",nugget_free,0.300000,raw,0.903818,0.377642,0.157161,0.952631,0.704334,1.352527,1.419781,1.832264,1142,2,1140,0.000000,1.920611,130.428632,1126.423919,0.988091,1.047440,64.848459
real,20220701,0,53,y22m07day01_hm00:53,tiles4x4,tile_r2c4_of_4x4,"tile row 2/4, col 4/4",nugget0,0.300000,raw,1.071222,0.333890,0.151687,4.696246,0.107397,43.727929,9.311252,0.000000,1116,2,1114,0.000000,1.332919,100.625883,1110.272841,0.996654,1.555697,64.104693
real,20220701,0,53,y22m07day01_hm00:53,tiles4x4,tile_r2c4_of_4x4,"tile row 2/4, col 4/4",nugget_free,0.300000,raw,1.118872,0.347503,0.152421,3.805323,0.201829,18.854212,4.954694,0.980184,1116,2,1114,0.000000,1.722117,204.938077,1111.794246,0.998020,0.493091,64.104693
real,20220701,0,53,y22m07day01_hm00:53,tiles4x4,tile_r3c1_of_4x4,"tile row 3/4, col 1/4",nugget0,0.300000,raw,1.077540,0.387408,0.101336,2.690358,0.024369,110.401661,41.036048,0.000000,1119,2,1117,0.000000,1.730702,5.130905,1117.409770,1.000367,1.647684,64.190952
real,20220701,0,53,y22m07day01_hm00:53,tiles4x4,tile_r3c1_of_4x4,"tile row 3/4, col 1/4",nugget_free,0.300000,raw,0.971269,0.388550,0.155224,0.560557,0.143348,3.910462,6.976031,2.122300,1119,2,1117,0.000000,2.255675,20.969334,1119.945543,1.002637,0.732407,64.190952
real,20220701,0,53,y22m07day01_hm00:53,tiles4x4,tile_r3c2_of_4x4,"tile row 3/4, col 2/4",nugget0,0.300000,raw,1.130331,0.339245,0.107895,3.370232,0.032039,105.193154,31.212436,0.000000,1109,2,1107,0.000000,1.898049,9.329088,1106.968439,0.999971,1.136539,63.902970
real,20220701,0,53,y22m07day01_hm00:53,tiles4x4,tile_r3c2_of_4x4,"tile row 3/4, col 2/4",nugget_free,0.300000,raw,1.065024,0.374878,0.155364,1.003916,0.146383,6.858150,6.831398,2.356931,1109,2,1107,0.000000,2.593976,36.784016,1108.293295,1.001168,0.720939,63.902970
real,20220701,0,53,y22m07day01_hm00:53,tiles4x4,tile_r3c3_of_4x4,"tile row 3/4, col 3/4",nugget0,0.300000,raw,1.121888,0.371867,0.104409,3.664334,0.029649,123.589245,33.727614,0.000000,1102,2,1100,0.000000,2.146770,9.130287,1097.916252,0.998106,1.748793,63.700608
real,20220701,0,53,y22m07day01_hm00:53,tiles4x4,tile_r3c3_of_4x4,"tile row 3/4, col 3/4",nugget_free,0.300000,raw,1.195022,0.377350,0.148748,1.109427,0.112428,9.867921,8.894610,2.552898,1102,2,1100,0.000000,2.859241,27.941058,1091.418732,0.992199,0.809481,63.700608
real,20220701,0,53,y22m07day01_hm00:53,tiles4x4,tile_r3c4_of_4x4,"tile row 3/4, col 4/4",nugget0,0.300000,raw,1.309335,0.336031,0.122700,5.866135,0.053290,110.080212,18.765375,0.000000,1092,2,1090,0.000000,2.494559,37.711322,1088.364091,0.998499,0.860215,63.410398
real,20220701,0,53,y22m07day01_hm00:53,tiles4x4,tile_r3c4_of_4x4,"tile row 3/4, col 4/4",nugget_free,0.300000,raw,1.284977,0.461739,0.126319,5.472451,0.058154,94.102905,17.195751,0.403980,1092,2,1090,0.000000,2.618010,41.311897,1088.281036,0.998423,0.787154,63.410398
real,20220701,0,53,y22m07day01_hm00:53,tiles4x4,tile_r4c1_of_4x4,"tile row 4/4, col 1/4",nugget0,0.300000,raw,0.905185,0.346877,0.114817,1.463101,0.035488,41.228454,28.178807,0.000000,1135,2,1133,0.000000,0.781608,4.797341,1132.549042,0.999602,2.026273,64.649056
real,20220701,0,53,y22m07day01_hm00:53,tiles4x4,tile_r4c1_of_4x4,"tile row 4/4, col 1/4",nugget_free,0.300000,raw,0.987558,0.368944,0.159764,0.494870,0.165735,2.985901,6.033713,0.963304,1135,2,1133,0.000000,1.071923,21.670208,1138.278363,1.004659,0.560181,64.649056
real,20220701,0,53,y22m07day01_hm00:53,tiles4x4,tile_r4c2_of_4x4,"tile row 4/4, col 2/4",nugget0,0.300000,raw,1.103135,0.340546,0.161894,4.437502,0.076616,57.918687,13.052094,0.000000,1169,2,1167,0.000000,1.503220,54.432037,1167.190003,1.000163,0.976092,65.611907
real,20220701,0,53,y22m07day01_hm00:53,tiles4x4,tile_r4c2_of_4x4,"tile row 4/4, col 2/4",nugget_free,0.300000,raw,1.143812,0.372218,0.170049,3.922119,0.095324,41.144977,10.490497,0.527295,1169,2,1167,0.000000,1.695625,70.424100,1167.712019,1.000610,0.830773,65.611907
real,20220701,0,53,y22m07day01_hm00:53,tiles4x4,tile_r4c3_of_4x4,"tile row 4/4, col 3/4",nugget0,0.300000,raw,1.168871,0.338138,0.127178,4.246146,0.047305,89.760192,21.139216,0.000000,1143,2,1141,0.000000,1.899130,22.220092,1143.254108,1.001976,0.871975,64.876895
real,20220701,0,53,y22m07day01_hm00:53,tiles4x4,tile_r4c3_of_4x4,"tile row 4/4, col 3/4",nugget_free,0.300000,raw,1.140688,0.460006,0.128365,4.246215,0.047310,89.752199,21.136988,0.000040,1143,2,1141,0.000000,1.899089,22.224488,1143.257683,1.001979,0.871720,64.876895
real,20220701,0,53,y22m07day01_hm00:53,tiles4x4,tile_r4c4_of_4x4,"tile row 4/4, col 4/4",nugget0,0.300000,raw,1.321811,0.355825,0.126705,5.366126,0.039432,136.085646,25.360129,0.000000,1160,2,1158,0.000000,2.706544,20.982197,1158.408646,1.000353,1.460095,65.358415
real,20220701,0,53,y22m07day01_hm00:53,tiles4x4,tile_r4c4_of_4x4,"tile row 4/4, col 4/4",nugget_free,0.300000,raw,1.283883,0.476079,0.126086,5.366024,0.039430,136.090925,25.361594,0.000043,1160,2,1158,0.000000,2.706620,20.979838,1158.403620,1.000349,1.460110,65.358415
