date_str,day_idx,hour_idx,time_key,resolution_stride,resolution_label,variant,smooth,mean_design,fit_type,model,kernel,coord_mode,loss,fit_iter_raw,fit_steps_reported,precompute_s,fit_s,total_s,n_grid,n_valid,valid_fraction,est_sigmasq,est_range,est_nugget,n_batches,n_tails,mean_m,max_m,largest_batch_n,total_conditioning_nominal,limit_A,profile_type,fixed_sigmasq,fixed_range,fixed_nugget
20240703,2,0,2024_07_y24m07day03_hm00:53,8,x8,nugget_free,0.5000,lat,sigma_only,HybridSpaceIso_A10_exactloc,hybrid_space_iso_tonly_exactloc,"2D grid thinning by stride in both lat/lon, then max-min hybrid ordering; covariance on Source_Latitude/Source_Longitude",1.7102,0,1,0.0014,0.0028,0.0042,300,300,1.0000,7.1901,1.2351,7.4121,1,300,10.0000,10,300,10,10,sigma_only,,1.2351,7.4121
20240703,2,0,2024_07_y24m07day03_hm00:53,8,x8,nugget_free,0.5000,lat,range_only,HybridSpaceIso_A10_exactloc,hybrid_space_iso_tonly_exactloc,"2D grid thinning by stride in both lat/lon, then max-min hybrid ordering; covariance on Source_Latitude/Source_Longitude",1.7102,0,1,0.0014,0.0022,0.0036,300,300,1.0000,7.1901,1.2351,7.4121,1,300,10.0000,10,300,10,10,range_only,7.1901,,7.4121
20240703,2,0,2024_07_y24m07day03_hm00:53,4,x4,nugget_free,0.5000,lat,sigma_only,HybridSpaceIso_A10_exactloc,hybrid_space_iso_tonly_exactloc,"2D grid thinning by stride in both lat/lon, then max-min hybrid ordering; covariance on Source_Latitude/Source_Longitude",1.5891,0,1,0.0199,0.1205,0.1404,1160,1160,1.0000,10.2637,0.6361,4.3236,1,1160,10.0000,10,1160,10,10,sigma_only,,0.6361,4.3236
20240703,2,0,2024_07_y24m07day03_hm00:53,4,x4,nugget_free,0.5000,lat,range_only,HybridSpaceIso_A10_exactloc,hybrid_space_iso_tonly_exactloc,"2D grid thinning by stride in both lat/lon, then max-min hybrid ordering; covariance on Source_Latitude/Source_Longitude",1.5891,0,1,0.0199,0.0100,0.0300,1160,1160,1.0000,10.2637,0.6361,4.3236,1,1160,10.0000,10,1160,10,10,range_only,10.2637,,4.3236
20240703,2,0,2024_07_y24m07day03_hm00:53,2,x2,nugget_free,0.5000,lat,sigma_only,HybridSpaceIso_A10_exactloc,hybrid_space_iso_tonly_exactloc,"2D grid thinning by stride in both lat/lon, then max-min hybrid ordering; covariance on Source_Latitude/Source_Longitude",1.6974,0,1,0.1310,0.1129,0.2439,4560,4531,0.9936,12.7624,1.1853,8.3748,1,4531,10.0000,10,4531,10,10,sigma_only,,1.1853,8.3748
20240703,2,0,2024_07_y24m07day03_hm00:53,2,x2,nugget_free,0.5000,lat,range_only,HybridSpaceIso_A10_exactloc,hybrid_space_iso_tonly_exactloc,"2D grid thinning by stride in both lat/lon, then max-min hybrid ordering; covariance on Source_Latitude/Source_Longitude",1.6974,0,1,0.1310,0.0354,0.1664,4560,4531,0.9936,12.7624,1.1853,8.3748,1,4531,10.0000,10,4531,10,10,range_only,12.7624,,8.3748
20240703,2,0,2024_07_y24m07day03_hm00:53,1,x1,nugget_free,0.5000,lat,sigma_only,HybridSpaceIso_A10_exactloc,hybrid_space_iso_tonly_exactloc,"2D grid thinning by stride in both lat/lon, then max-min hybrid ordering; covariance on Source_Latitude/Source_Longitude",1.4083,0,1,0.1496,0.2077,0.3573,18126,18067,0.9967,11.6059,0.2764,3.0436,1,18067,10.0000,10,18067,10,10,sigma_only,,0.2764,3.0436
20240703,2,0,2024_07_y24m07day03_hm00:53,1,x1,nugget_free,0.5000,lat,range_only,HybridSpaceIso_A10_exactloc,hybrid_space_iso_tonly_exactloc,"2D grid thinning by stride in both lat/lon, then max-min hybrid ordering; covariance on Source_Latitude/Source_Longitude",1.4083,0,1,0.1496,0.1407,0.2903,18126,18067,0.9967,11.6059,0.2764,3.0436,1,18067,10.0000,10,18067,10,10,range_only,11.6059,,3.0436
20240703,2,1,2024_07_y24m07day03_hm01:53,8,x8,nugget_free,0.5000,lat,sigma_only,HybridSpaceIso_A10_exactloc,hybrid_space_iso_tonly_exactloc,"2D grid thinning by stride in both lat/lon, then max-min hybrid ordering; covariance on Source_Latitude/Source_Longitude",1.7402,0,1,0.0015,0.0025,0.0040,300,293,0.9767,8.7055,1.4751,7.8246,1,293,10.0000,10,293,10,10,sigma_only,,1.4751,7.8246
20240703,2,1,2024_07_y24m07day03_hm01:53,8,x8,nugget_free,0.5000,lat,range_only,HybridSpaceIso_A10_exactloc,hybrid_space_iso_tonly_exactloc,"2D grid thinning by stride in both lat/lon, then max-min hybrid ordering; covariance on Source_Latitude/Source_Longitude",1.7402,0,1,0.0015,0.0022,0.0037,300,293,0.9767,8.7055,1.4751,7.8246,1,293,10.0000,10,293,10,10,range_only,8.7055,,7.8246
