date_str,day_idx,hour_idx,time_key,resolution_stride,resolution_label,variant,smooth,mean_design,fit_type,model,kernel,coord_mode,loss,fit_iter_raw,fit_steps_reported,precompute_s,fit_s,total_s,n_grid,n_valid,valid_fraction,est_sigmasq,est_range,est_nugget,n_batches,n_tails,mean_m,max_m,largest_batch_n,total_conditioning_nominal,head_right_cols,above_count,right_col_count,per_time_conditioning_count
20240703,2,0,2024_07_y24m07day03_hm00:53,8,x8,nugget_free,0.4000,latlon,full,ColumnSpaceIso_Up2_Right3_M10_realloc,column_space_iso_tonly_realloc,regular-grid every-k thinning; covariance on Source_Latitude/Source_Longitude,1.6182,0,1,0.0368,0.1971,0.2339,2266,2259,0.9969,9.1872,0.5140,3.8962,1,2259,10.0000,10,2259,10,0,2,3,10
20240703,2,0,2024_07_y24m07day03_hm00:53,4,x4,nugget_free,0.4000,latlon,full,ColumnSpaceIso_Up2_Right3_M10_realloc,column_space_iso_tonly_realloc,regular-grid every-k thinning; covariance on Source_Latitude/Source_Longitude,1.5123,0,1,0.0847,0.3466,0.4313,4532,4518,0.9969,9.7201,0.4137,2.8868,1,4518,10.0000,10,4518,10,0,2,3,10
20240703,2,0,2024_07_y24m07day03_hm00:53,2,x2,nugget_free,0.4000,latlon,full,ColumnSpaceIso_Up2_Right3_M10_realloc,column_space_iso_tonly_realloc,regular-grid every-k thinning; covariance on Source_Latitude/Source_Longitude,1.5367,0,1,0.2241,0.6936,0.9176,9063,9033,0.9967,10.7994,0.3193,3.6753,1,9033,10.0000,10,9033,10,0,2,3,10
20240703,2,0,2024_07_y24m07day03_hm00:53,1,x1,nugget_free,0.4000,latlon,full,ColumnSpaceIso_Up2_Right3_M10_realloc,column_space_iso_tonly_realloc,regular-grid every-k thinning; covariance on Source_Latitude/Source_Longitude,1.4129,0,1,0.7690,1.5660,2.3350,18126,18067,0.9967,10.9482,0.2822,2.5994,1,18067,10.0000,10,18067,10,0,2,3,10
20240703,2,1,2024_07_y24m07day03_hm01:53,8,x8,nugget_free,0.4000,latlon,full,ColumnSpaceIso_Up2_Right3_M10_realloc,column_space_iso_tonly_realloc,regular-grid every-k thinning; covariance on Source_Latitude/Source_Longitude,1.6546,0,1,0.0346,0.1782,0.2128,2266,2208,0.9744,11.8255,0.4291,3.1430,1,2208,10.0000,10,2208,10,0,2,3,10
20240703,2,1,2024_07_y24m07day03_hm01:53,4,x4,nugget_free,0.4000,latlon,full,ColumnSpaceIso_Up2_Right3_M10_realloc,column_space_iso_tonly_realloc,regular-grid every-k thinning; covariance on Source_Latitude/Source_Longitude,1.5355,0,1,0.0823,0.4174,0.4997,4532,4422,0.9757,13.1613,0.3780,1.8623,1,4422,10.0000,10,4422,10,0,2,3,10
20240703,2,1,2024_07_y24m07day03_hm01:53,2,x2,nugget_free,0.4000,latlon,full,ColumnSpaceIso_Up2_Right3_M10_realloc,column_space_iso_tonly_realloc,regular-grid every-k thinning; covariance on Source_Latitude/Source_Longitude,1.4285,0,1,0.2204,0.6975,0.9179,9063,8840,0.9754,12.9815,0.3145,1.5907,1,8840,10.0000,10,8840,10,0,2,3,10
20240703,2,1,2024_07_y24m07day03_hm01:53,1,x1,nugget_free,0.4000,latlon,full,ColumnSpaceIso_Up2_Right3_M10_realloc,column_space_iso_tonly_realloc,regular-grid every-k thinning; covariance on Source_Latitude/Source_Longitude,1.3683,0,1,0.7589,1.3933,2.1522,18126,17670,0.9748,12.7780,0.2599,1.4835,1,17670,10.0000,10,17670,10,0,2,3,10
20240703,2,2,2024_07_y24m07day03_hm02:53,8,x8,nugget_free,0.4000,latlon,full,ColumnSpaceIso_Up2_Right3_M10_realloc,column_space_iso_tonly_realloc,regular-grid every-k thinning; covariance on Source_Latitude/Source_Longitude,1.7057,0,1,0.0327,0.1932,0.2259,2266,2082,0.9188,13.4759,0.4747,3.6021,1,2082,10.0000,10,2082,10,0,2,3,10
20240703,2,2,2024_07_y24m07day03_hm02:53,4,x4,nugget_free,0.4000,latlon,full,ColumnSpaceIso_Up2_Right3_M10_realloc,column_space_iso_tonly_realloc,regular-grid every-k thinning; covariance on Source_Latitude/Source_Longitude,1.6099,0,1,0.0774,0.3681,0.4455,4532,4176,0.9214,14.0101,0.4108,3.0112,1,4176,10.0000,10,4176,10,0,2,3,10
